Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
9514696,112 PRECINCT NYPD -DDC,68-40 AUSTIN STREET,,QUEENS,Queens,,4101,2,12/15/1995,02/16/1996,Unknown,,"Institutional, Educational, Gov., Other",03/21/2002,other  -,Other,0,Gallons,0
9312607,112 PRECINCT NYPD -DDC,68-40 AUSTIN STREET,,QUEENS,Queens,,4101,2,01/26/1994,01/26/1994,Unknown,,Unknown,03/31/1995,gasoline,Petroleum,40,Gallons,0
9514432,112 PRECINCT NYPD -DDC,68-40 AUSTIN STREET,,QUEENS,Queens,,4101,2,02/09/1996,02/12/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",11/03/2003,gasoline,Petroleum,0,Gallons,0
1002354,112 RIVER PARK RD,112 RIVER PARK RD,,LIVERPOOL,Onondaga,,3448,7,06/01/2010,06/01/2010,Traffic Accident,,Passenger Vehicle,08/11/2010,auto waste fluids,Petroleum,10,Gallons,10
9903235,112 SHOPPING CENTER,691 RTE 112,,PATCHOGUE,Suffolk,,5222,1,06/21/1999,06/21/1999,Other,,Commercial/Industrial,09/01/1999,#2 fuel oil,Petroleum,0,Gallons,0
9409714,112 SILVERLAKE ROAD,112 SILVERLAKE ROAD,,STATEN ISLAND,Richmond,,4301,2,10/20/1994,10/20/1994,Tank Failure,,Private Dwelling,10/20/1994,#2 fuel oil,Petroleum,1,Gallons,0
9011835,112 W AMSTERDAM AVE/MANH,112 WEST AMSTERDAM AVE,,NEW YORK CITY,New York,,3101,2,02/08/1991,02/11/1991,Tank Overfill,,Tank Truck,04/18/1991,unknown petroleum,Petroleum,0,,0
9011788,112 WEST ECKERSON RD,112 WEST ECKERSON RD,,SPRING VALLEY,Rockland,,4400,3,02/09/1991,02/09/1991,Deliberate,,Passenger Vehicle,02/26/1991,waste oil/used oil,Petroleum,1,Gallons,0
8808898,112-02 15TH AV/CANADA DRY,112-02 15TH AVENUE,,COLLEGE POINT,Queens,,4101,2,02/14/1989,02/14/1989,Unknown,FLUSHING BAY,Unknown,12/04/1992,diesel,Petroleum,4000,Gallons,0
9008064,112-02 203RD ST/QUEENS,112-02 203RD STREET,,NEW YORK CITY,Queens,,4101,2,10/23/1990,10/24/1990,Equipment Failure,,Private Dwelling,05/25/1995,#2 fuel oil,Petroleum,15,Gallons,0
9003315,112-03 14TH AVE/QUEENS,112-03 14TH AVENUE,,NEW YORK CITY,Queens,,4101,2,06/22/1990,06/22/1990,Traffic Accident,,Commercial Vehicle,06/22/1990,diesel,Petroleum,20,Gallons,0
1211597,112-04 Rockaway Beach Boulevard,112-04 Rockaway Beach Boulevard,,Belle Harbor,Queens,11694,4101,2,10/29/2012,11/13/2012,Storm,,Private Dwelling,03/27/2013,#2 fuel oil,Petroleum,0,,500
9511139,112-05 180TH ST,112-05 180TH ST,,ST ALBANS,Queens,,4101,2,12/05/1995,12/05/1995,Equipment Failure,,Private Dwelling,12/05/1995,#2 fuel oil,Petroleum,1,Gallons,1
0505175,112-07 91ST AVE,112-07 91ST AVE,,QUEENS,Queens,,4101,2,07/28/2005,07/28/2005,Human Error,,Private Dwelling,08/02/2005,gasoline,Petroleum,0,Gallons,0
9206808,112-10 BEACH CHANNEL,112-10 BEACH CHANNEL,,ROCKAWAY,Queens,,4101,2,09/13/1992,09/13/1992,Tank Overfill,JAMAICA BAY,Gasoline Station or other PBS Facility,09/13/1992,gasoline,Petroleum,50,Gallons,0
9500205,112-10 BEACH CHANNEL DR.,112-10 BEACH CHANNEL DR,,ROCKAWAY PARK,Queens,,4101,2,04/05/1995,04/05/1995,Tank Overfill,,Gasoline Station or other PBS Facility,04/05/1995,gasoline,Petroleum,3,Gallons,3
9002213,112-10 NY CORP,112-10 BEACH CHANNEL DR,,ROCKAWAY PARK,Queens,,4101,2,05/25/1990,05/25/1990,Tank Failure,,Gasoline Station or other PBS Facility,06/30/1990,gasoline,Petroleum,0,Gallons,0
9104068,112-114 W 116TH ST,112-114 W 116TH ST,,NYC,New York,,3101,2,07/16/1991,07/16/1991,Human Error,,Commercial/Industrial,10/15/1991,#2 fuel oil,Petroleum,236,Gallons,0
9506300,112-119  179TH STREET,112-119 179TH STREET,,JAMAICA,Queens,,4101,2,08/22/1995,08/22/1995,Human Error,,Private Dwelling,04/30/1998,#2 fuel oil,Petroleum,1,Gallons,1
0806500,112-12 ASTORIA BLVD,112-12 ASTORIA BOULEVARD,,EAST ELMHURST,Queens,11369,4101,2,09/09/2008,09/10/2008,Unknown,,Unknown,05/28/2021,gasoline,Petroleum,0,,0
0402309,112-13 101ST AVE,112-13 101ST AVE,,QUEENS,Queens,,4101,2,06/01/2004,06/01/2004,Abandoned Drums,,Commercial/Industrial,06/28/2004,motor oil,Petroleum,5,Gallons,0
9313041,112-15 201 ST.,112-15 201 ST.,,HOLLIS,Queens,,4101,2,02/03/1994,02/03/1994,Equipment Failure,,Private Dwelling,02/04/1994,#2 fuel oil,Petroleum,1,Pounds,0
0012029,112-15 B. CHANNEL DR,112-15 BEACH CHANNEL DR,,ROCKAWAY PARK,Queens,,4101,2,02/07/2001,02/08/2001,Unknown,,Commercial/Industrial,11/21/2008,naphthalene,Hazardous Material,0,Gallons,0
9001611,112-20 14TH AVE/QUEENS,112-30 14TH AVENUE,,NEW YORK CITY,Queens,,4101,2,05/10/1990,05/10/1990,Tank Test Failure,,Unknown,10/07/1992,#2 fuel oil,Petroleum,0,,0
9608429,112-20 ATLANTIC AVE,112-20 ATLANTIC AVE,,RICHMOND HILL,Queens,,4101,2,10/07/1996,10/07/1996,Other,,Commercial/Industrial,09/15/1998,gasoline,Petroleum,0,Gallons,0
8402400,112-25 167TH ST.,112025 167TH ST,,JAMAICA,Queens,,4101,2,12/07/1984,12/07/1984,Unknown,,Unknown,09/25/1995,unknown material,Other,0,Pounds,0
9103378,112-26 208TH STREET,112-26 208TH STREET,,QUEENS VILLAGE,Queens,,4101,2,06/26/1991,06/26/1991,Human Error,,Tank Truck,06/26/1991,#2 fuel oil,Petroleum,1,,0
9412490,112-27 176TH ST,112-27 176TH ST,,QUEENS,Queens,,4101,2,12/17/1994,12/17/1994,Human Error,,Tank Truck,12/17/1994,#2 fuel oil,Petroleum,3,Gallons,0
9211615,112-37 ROOSEVELT AVE,112-37 ROOSEVELT AVE,,CORONA,Queens,,4101,2,01/08/1993,01/08/1993,Equipment Failure,,"Institutional, Educational, Gov., Other",01/08/1993,#2 fuel oil,Petroleum,1,Gallons,0
9414186,1120 BERGEN STREET,1120 BERGEN STREET,,BROOKLYN,Kings,,2401,2,01/26/1995,01/26/1995,Equipment Failure,,Private Dwelling,01/26/1995,#2 fuel oil,Petroleum,1,Gallons,0
9314410,1120 ELDER AVE.,1120 ELDER AVE,,BRONX,Bronx,,0301,2,03/10/1994,03/10/1994,Equipment Failure,,Private Dwelling,03/10/1994,#2 fuel oil,Petroleum,100,Gallons,0
9209756,1120 FYLLER ROAD,1120 FYLLER ROAD,,KIRKVILLE,Onondaga,,3400,7,11/20/1992,11/21/1992,Unknown,,Unknown,12/31/1992,unknown petroleum,Petroleum,0,Pounds,0
8703327,1120 GRAND CONCOURSE/E.16,1120 GRAND CONCOURSE,,NEW YORK CITY,Bronx,,0301,2,07/23/1987,07/23/1987,Equipment Failure,,Commercial/Industrial,07/28/1987,PCB oil,Petroleum,0,,0
9011237,1120 LEGGETT AVE/BX,1120 LEGGETT AVENUE,,NEW YORK CITY,Bronx,,0301,2,01/22/1991,01/23/1991,Tank Overfill,,Commercial/Industrial,06/20/1995,#6 fuel oil,Petroleum,50,Gallons,0
2004459,"1120 NORTH RD, TULLY",1120 NORTH RD,,TULLY,Onondaga,,3454,7,08/15/2020,08/15/2020,Equipment Failure,,Private Dwelling,04/30/2021,#2 fuel oil,Petroleum,0,,0
9011624,1121 1ST AVE/MANH/GETTY,1121 1ST AVENUE,1121 FIRST AVE,MANHATTAN,New York,,3101,2,02/05/1991,02/05/1991,Unknown,,Tank Truck,02/05/1991,gasoline,Petroleum,5,Gallons,0
0409146,1121 CENTRAL AVE,1121 CENTRAL AVE,RT 5,COLONIE  ALBANY,Albany,12206,0126,4,11/11/2004,11/11/2004,Other,,Commercial/Industrial,12/07/2004,paint thinners,Other,0,Gallons,0
9609479,1121 PENNSYLVANIA AVE,1121 PENNSYLVANIA AVENUE,,Brooklyn,Kings,11207,2401,2,10/29/1996,10/29/1996,Other,,Gasoline Station or other PBS Facility,03/20/2007,gasoline,Petroleum,0,Gallons,0
9808931,1122 MOHAWK ST,1122 MOHAWK ST,,UTICA,Oneida,,3300,6,10/19/1998,10/19/1998,Equipment Failure,,Commercial/Industrial,01/06/1999,unknown material,Other,0,Gallons,0
9013008,1122 WESTCHESTER AVE/BX,1122 WESTCHESTER AVENUE,,NEW YORK CITY,Bronx,,0301,2,03/21/1991,03/21/1991,Human Error,,Private Dwelling,03/21/1991,#2 fuel oil,Petroleum,4,Gallons,0
8910579,1122 YONKERS AVE.LIMITED,1122 YONKERS AVE,,YONKERS,Westchester,,6018,3,02/05/1990,02/06/1990,Tank Test Failure,,Commercial/Industrial,02/06/1990,#6 fuel oil,Petroleum,0,,0
9414970,1123 1ST AVENUE,1123 1ST AVENUE,1123 FIRST AVE,MANHATTAN,New York,,3101,2,02/14/1995,02/14/1995,Equipment Failure,,Private Dwelling,02/14/1995,#2 fuel oil,Petroleum,10,Gallons,10
9309587,1123 EAST 211TH STREET,1123 EAST 211TH STREET,,BRONX,Bronx,,0301,2,11/07/1993,11/08/1993,Tank Failure,,Private Dwelling,11/08/1993,#2 fuel oil,Petroleum,2,Gallons,0
9606413,1124 ROUTE 104 EMPTY LOT,1124 ROUTE 104,,ONTARIO,Wayne,14519,5934,8,06/19/1996,06/19/1996,Unknown,,Unknown,07/25/1996,unknown petroleum,Petroleum,0,Gallons,0
1002559,112463 MANHOLE,MILLER AVE AND LABELLE AVE,,BLASEDELL,Erie,,1548,9,06/06/2010,06/06/2010,Other,,"Major Facility (MOSF) > 400,000 gal",06/07/2010,wastewater,Other,0,,0
9307050,1125 BROADWAY,1125 BROADWAY,,MANHATTAN,New York,,3101,2,09/08/1993,09/09/1993,Deliberate,,Commercial/Industrial,09/10/1993,unknown petroleum,Petroleum,0,,0
9309362,1125 RICHMOND TERRACE,1125 RICHMOND TERRACE,,STATEN ISLAND,Richmond,,4301,2,11/02/1993,11/02/1993,Tank Test Failure,,Gasoline Station or other PBS Facility,12/19/2002,gasoline,Petroleum,0,Pounds,0
9705688,1127 EAST 85TH ST,1127 EAST 85TH STREET,,BROOKLYN,Kings,,2401,2,08/11/1997,08/11/1997,Other,,Private Dwelling,01/08/1998,#2 fuel oil,Petroleum,0,Gallons,0
9201560,1128 E GUNHILL RD/AMOCO,1128 EAST GUN HILL ROAD,,Bronx,Bronx,10469,0301,2,05/08/1992,05/08/1992,Human Error,,Tank Truck,05/08/1992,gasoline,Petroleum,20,Gallons,0
8803085,1128 EAST GUN HILL/TEXACO,1128 EAST GUN HILL ROAD,,Bronx,Bronx,10469,0301,2,07/08/1988,07/08/1988,Tank Test Failure,,Gasoline Station or other PBS Facility,02/04/1989,gasoline,Petroleum,0,,0
9515610,1128 EAST WASHINGTON ST,1128 EAST WASHINGTON ST,,SYRACUSE,Onondaga,,3415,7,03/05/1996,03/05/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",06/01/1996,gasoline,Petroleum,0,Gallons,0
9912129,1128 WARD AVENUE,1128 WARD AV,,BRONX,Bronx,,0301,2,01/20/2000,01/20/2000,Human Error,,Private Dwelling,02/07/2000,#2 fuel oil,Petroleum,4,Gallons,4
9100282,11291 BROADWAY,11291 BROADWAY,,ALDEN,Erie,,1520,9,04/05/1991,04/05/1991,Traffic Accident,,Passenger Vehicle,06/14/1991,gasoline,Petroleum,15,Gallons,15
9803769,112TH ST & BROADWAY,112TH ST & BROADWAY,,MANHATTAN,New York,,3101,2,06/23/1998,06/24/1998,Unknown,,Commercial/Industrial,06/25/1998,#2 fuel oil,Petroleum,0,Gallons,0
1107807,113 DEXTER LN  HURRICANE IRENE FLOOD,113 DEXTER LN,HURRICANE IRENE FLOOD  SCHOHARIE CREEK,MIDDLEBURGH,Schoharie,,4838,4,08/28/2011,09/12/2011,Other,SCHOHARIE CREEK,Private Dwelling,03/06/2012,#2 fuel oil,Petroleum,0,Gallons,0
9411123,113 E. 29TH ST,113 E. 29TH ST,,MANHATTAN,New York,,3101,2,11/19/1994,11/19/1994,Tank Overfill,,Private Dwelling,11/19/1994,#2 fuel oil,Petroleum,1,Gallons,0
9415276,113 EAST 117TH STREET,113 EAST 117TH STREET,,MANHATTAN,New York,,3101,2,02/22/1995,02/22/1995,Equipment Failure,,"Institutional, Educational, Gov., Other",02/22/1995,#2 fuel oil,Petroleum,2,Gallons,2
9415104,113 EAST 29TH ST,113 EAST 29TH ST,,MANHATTAN,New York,,3101,2,02/16/1995,02/16/1995,Tank Overfill,,"Non Major Facility > 1,100 gal",02/16/1995,#2 fuel oil,Petroleum,5,Gallons,5
9314240,113 EAST 29TH STREET,113 EAST 29TH STREET,,MANHATTAN,New York,,3101,2,03/06/1994,03/06/1994,Tank Overfill,,Private Dwelling,03/07/1994,#2 fuel oil,Petroleum,0,Gallons,0
1211598,113 East 6th Road,113 East 6th Road,,Broad Channel,Queens,11693,4101,2,10/29/2012,11/13/2012,Storm,,Private Dwelling,03/27/2013,#2 fuel oil,Petroleum,0,,75
1211599,113 East 7th Road,113 East 7th Road,,Broad Channel,Queens,11693,4101,2,10/29/2012,11/13/2012,Storm,,Private Dwelling,03/27/2013,#2 fuel oil,Petroleum,0,,25
0750996,113 FLOWER STREET ASBESTOS,113 FLOWER STREET,,ROCHESTER,Monroe,14621,2814,8,10/18/2007,10/19/2007,Deliberate,,Commercial/Industrial,08/06/2009,asbestos,Hazardous Material,500,Pounds,500
9010875,113 FROST AVE. ABAN DRUM,113 FROST AVE.,,ROCHESTER,Monroe,14608,2814,8,01/09/1991,01/09/1991,Abandoned Drums,,Unknown,01/18/1991,lacquer thinner,Other,30,Gallons,0
0806321,113 HUDSON AVE ACROSS FROM HOSPITAL,113 HUDSON AVE,,GLENS FALLS,Warren,,5705,5,09/05/2008,09/05/2008,Equipment Failure,,Commercial/Industrial,11/02/2011,transformer oil,Petroleum,50,Gallons,0
9501276,113 MAY AVE,113 MAY STREET,,SYRACUSE,Onondaga,,3415,7,04/30/1995,04/30/1995,Deliberate,,Private Dwelling,05/01/1995,waste oil/used oil,Petroleum,0,Gallons,0
9700665,113 MORRIS RD  OIL CHANGE,113 MORRIS RD,IFO   113 MORRIS RD,ALBANY,Albany,,0101,4,04/14/1997,04/15/1997,Deliberate,,Passenger Vehicle,04/16/1997,motor oil,Petroleum,1,Gallons,0
0330016,113 PRECINCT NYPD -DDC,167-02 BAISLEY BOULEVARD,,JAMAICA,Queens,,4101,2,06/23/2003,06/23/2003,Human Error,,"Institutional, Educational, Gov., Other",07/03/2003,waste oil/used oil,Petroleum,165,Gallons,0
9007338,113 PRECINCT NYPD -DDC,167-02 BAISLEY BOULEVARD,,JAMAICA,Queens,,4101,2,10/04/1990,10/04/1990,Tank Test Failure,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Pounds,0
0301770,113 WEAVER ST,113 WEAVER ST,,STATEN ISLAND,Richmond,,4301,2,05/19/2003,05/19/2003,Equipment Failure,,Tank Truck,01/10/2008,lead,Hazardous Material,2,Gallons,0
0170395,113 YACHT CLUB COVE,WEST LAKE ROAD,,CANANDAIGUA,Ontario,14424,3524,8,10/30/2001,10/31/2001,Other,CANANDAIGUA,Vessel,10/31/2001,waste oil/used oil,Petroleum,0,Gallons,0
0170395,113 YACHT CLUB COVE,WEST LAKE ROAD,,CANANDAIGUA,Ontario,14424,3524,8,10/30/2001,10/31/2001,Other,CANANDAIGUA,Vessel,10/31/2001,gasoline,Petroleum,0,Gallons,0
9710888,113-14 72ND RD,113-14 72ND RD,,QUEENS,Queens,,4101,2,12/27/1997,12/27/1997,Human Error,,Commercial Vehicle,02/25/2003,#6 fuel oil,Petroleum,6,Gallons,0
9007997,113-21 ROCKAWAY BLV/MOBIL,113-21 ROCKAWAY BLVD,,NEW YORK CITY,Queens,,4101,2,10/22/1990,10/22/1990,Tank Test Failure,,Gasoline Station or other PBS Facility,04/30/1993,gasoline,Petroleum,0,,0
9508329,113-28 199TH STREET,113-28 199TH STREET,,ST ALBANS,Queens,,4101,2,10/06/1995,10/06/1995,Equipment Failure,,Private Dwelling,10/06/1995,#2 fuel oil,Petroleum,1,Gallons,1
9411930,113-35 207TH ST,113-35 207TH ST,,ST ALBANS,Queens,,4101,2,12/07/1994,12/07/1994,Equipment Failure,,Private Dwelling,12/07/1994,#2 fuel oil,Petroleum,1,Gallons,0
9203573,113-9 ATLANTIC AVE,113-9 ATLANTIC AVE,,RICHMOND HILL,Queens,,4101,2,06/25/1992,06/25/1992,Other,,Commercial/Industrial,06/25/1992,unknown petroleum,Petroleum,0,,0
9203573,113-9 ATLANTIC AVE,113-9 ATLANTIC AVE,,RICHMOND HILL,Queens,,4101,2,06/25/1992,06/25/1992,Other,,Commercial/Industrial,06/25/1992,freon,Other,0,,0
9107338,1130 BEACH 9TH ST,1130 BEACH 9TH ST,,FAR ROCKAWAY,Queens,,4101,2,10/08/1991,10/08/1991,Unknown,,Unknown,10/10/1991,unknown petroleum,Petroleum,0,Gallons,0
0370103,1130 EAST MAIN STREET,1130 EAST MAIN STREET,,ROCHESTER,Monroe,14609,2814,8,05/20/2003,05/20/2003,Unknown,,Gasoline Station or other PBS Facility,05/20/2003,other  -,Other,0,Gallons,0
0370103,1130 EAST MAIN STREET,1130 EAST MAIN STREET,,ROCHESTER,Monroe,14609,2814,8,05/20/2003,05/20/2003,Unknown,,Gasoline Station or other PBS Facility,05/20/2003,gasoline,Petroleum,0,Gallons,0
9712532,1130 PLAHAM PARKWAY,1130 PELHAM PARKWAY,,BRONX,Bronx,,0301,2,02/02/1998,02/10/1998,Equipment Failure,,Private Dwelling,03/03/2003,unknown petroleum,Petroleum,25,Gallons,0
9812475,1131 DEAN STREET,1131 DEAN ST,,BROOKLYN,Kings,,2401,2,01/07/1998,01/08/1999,Tank Overfill,,Private Dwelling,01/14/1999,#2 fuel oil,Petroleum,0,Gallons,0
9109487,1132 1ST AVE/MOBIL,1132 1ST AVE,,NYC,New York,,3101,2,12/05/1991,12/05/1991,Human Error,,Gasoline Station or other PBS Facility,12/31/1991,gasoline,Petroleum,5,,0
9209884,1132 VEKALB AVE,1132 DEKALB AVE,,BROOKLYN,Kings,,2401,2,11/24/1992,11/24/1992,Unknown,,Commercial/Industrial,11/30/1992,#2 fuel oil,Petroleum,75,Gallons,0
9004884,1133 EMERSON STREET,1133 EMERSON STREET,,ROCHESTER,Monroe,14606,2814,8,07/01/1990,07/26/1990,Deliberate,,Commercial/Industrial,11/08/1990,waste oil/used oil,Petroleum,0,Gallons,0
9608817,1134 EAST NEW YORK AVENUE,1134 EAST NEW YORK AVENUE,,BROOKLYN,Kings,,2401,2,10/16/1996,10/16/1996,Other,,Passenger Vehicle,04/30/1998,gasoline,Petroleum,10,Gallons,10
1302228,11348 POLE,HOLLYWOOD AVE / MILES AVE,,BRONX,Bronx,,0301,2,06/01/2013,06/01/2013,Equipment Failure,,Commercial/Industrial,07/23/2013,transformer oil,Petroleum,0,,0
9205386,1135 E 222ND ST,1135 E 222ND ST/MOBIL,,BRONX,Bronx,,0301,2,08/10/1992,08/10/1992,Human Error,,Gasoline Station or other PBS Facility,08/12/1992,gasoline,Petroleum,5,Gallons,0
8800168,1137 83RD ST/BKLYN,1137 83RD ST,,NEW YORK CITY,Kings,,2401,2,03/29/1988,04/06/1988,Tank Overfill,,Private Dwelling,02/10/2003,#2 fuel oil,Petroleum,150,Gallons,0
1007547,11379  WOLCOTT ROAD,11379  WOLCOTT ROAD,,ROSE,Wayne,,5938,8,10/14/2010,10/14/2010,Unknown,,Unknown,10/14/2010,hydraulic oil,Petroleum,5,Gallons,0
9705239,1138 BROADWAY,1138 BROADWAY,,ELMIRA,Chemung,14904-2539,0830,8,07/31/1997,07/31/1997,Unknown,,Private Dwelling,08/19/1997,unknown hazardous material,Hazardous Material,0,Gallons,0
0806114,1139 CLOVE RD,1139 CLOVE RD,,STATEN ISLAND,Richmond,,4301,2,08/29/2008,08/29/2008,Unknown,,Unknown,09/02/2008,unknown petroleum,Petroleum,0,Gallons,0
9511835,1139 EAST 219TH ST,1139 EAST 219TH ST,,BRONX,Bronx,,0301,2,12/19/1995,12/19/1995,Other,,Passenger Vehicle,12/19/1995,gasoline,Petroleum,0,Gallons,0
9710498,113TH & AMSTERDAM AV,113TH & AMSTERDAM AV,,MANHATTAN,New York,,3101,2,12/12/1997,12/12/1997,Equipment Failure,,Commercial Vehicle,12/31/1997,#6 fuel oil,Petroleum,10,Gallons,0
9307232,113TH ST & CATHEDRAL DR,113TH ST & CATHEDRAL DR,,MANHATTAN,New York,,3101,2,09/14/1993,09/14/1993,Unknown,,Unknown,09/14/1993,unknown petroleum,Petroleum,0,Pounds,0
9305702,114 32ND ST AT 3RD AVE.,114 32ND ST AT 3RD AVE,,BROOKLYN,Kings,,2401,2,08/09/1993,08/09/1993,Tank Overfill,,Gasoline Station or other PBS Facility,10/27/2003,unknown petroleum,Petroleum,0,Pounds,0
9516642,114 5TH AVENUE,114 5TH AVENUE,,NEW YORK,New York,,3101,2,03/26/1996,03/26/1996,Equipment Failure,,Commercial/Industrial,03/26/1996,#6 fuel oil,Petroleum,4,Gallons,4
9908996,114 BADED PLACE,114 BADEN PLACE,,STATEN ISLAND,Richmond,,4301,2,10/01/1999,10/25/1999,Deliberate,,Passenger Vehicle,05/06/2003,auto waste fluids,Petroleum,0,Gallons,0
9908996,114 BADED PLACE,114 BADEN PLACE,,STATEN ISLAND,Richmond,,4301,2,10/01/1999,10/25/1999,Deliberate,,Passenger Vehicle,05/06/2003,motor oil,Petroleum,0,Gallons,0
1102826,114 CHESAPEAKE LANDING,114 CHESAPEAKE LANDING,,HENRIETTA,Monroe,,2832,8,06/11/2011,06/11/2011,Unknown,,Private Dwelling,06/13/2011,chlorine,Hazardous Material,0,,0
9514843,114 FIRST PLACE,114 FIRST PLACE,,BROOKLYN,Kings,,2401,2,02/20/1996,02/20/1996,Equipment Failure,,Private Dwelling,02/20/1996,#2 fuel oil,Petroleum,1,Gallons,1
0302890,114 FORREST STREET,114 FORREST STREET,,BROOKLYN,Kings,,2401,2,06/18/2003,06/18/2003,Tank Test Failure,,Private Dwelling,10/30/2003,#2 fuel oil,Petroleum,0,Gallons,0
0403115,114 GREEN ROAD,114 GREEN ROAD,,MUNNSVILLE,Madison,,2700,7,06/22/2004,06/22/2004,Equipment Failure,,Private Dwelling,06/22/2004,#2 fuel oil,Petroleum,1,Gallons,1
1212249,114 Kensington Ave (Hurricane Sandy),114 Kensington Ave,,Manhattan Bea,Kings,11235,2401,2,10/29/2012,11/16/2012,Storm,,Private Dwelling,11/13/2012,#2 fuel oil,Petroleum,0,,1100
9208021,114 MERCER STREET,114 MERCER STREET,,MANHATTAN,New York,,3101,2,10/08/1992,10/12/1992,Tank Overfill,,Commercial/Industrial,10/12/1992,#2 fuel oil,Petroleum,1,Gallons,0
0200476,114 NAGLE AVENUE,114 NAGLE AVENUE,,MANHATTAN,New York,,3101,2,04/13/2002,04/13/2002,Human Error,,Private Dwelling,03/17/2006,#4 fuel oil,Petroleum,30,Gallons,0
1804895,114 NORTH MADISON AVENUE,114 NORTH MADISON AVE/ROUTE 14,,WALKINS GLEN,Schuyler,14891,4924,8,08/06/2018,08/06/2018,Unknown,,Unknown,03/24/2020,unknown petroleum,Petroleum,0,,0
9510926,114 PRECINCT NYPD -DDC,34-16 ASTORIA BOULEVARD,,ASTORIA,Queens,,4101,2,11/27/1995,11/30/1995,Other,,"Institutional, Educational, Gov., Other",09/13/2001,gasoline,Petroleum,0,Gallons,0
9510794,114 PRECINCT NYPD -DDC,34-16 ASTORIA BOULEVARD,,ASTORIA,Queens,,4101,2,11/27/1995,11/28/1995,Tank Failure,,"Institutional, Educational, Gov., Other",09/13/2001,gasoline,Petroleum,0,Gallons,0
0501014,114 RIVER RD BURNED HOUSE,114 RIVER RD,,JOHNSONVILLE,Rensselaer,,4236,4,04/25/2005,04/25/2005,Housekeeping,,Private Dwelling,04/26/2005,debris,Other,0,Gallons,0
0501014,114 RIVER RD BURNED HOUSE,114 RIVER RD,,JOHNSONVILLE,Rensselaer,,4236,4,04/25/2005,04/25/2005,Housekeeping,,Private Dwelling,04/26/2005,asbestos,Hazardous Material,0,Gallons,0
0480009,114 WATER STREET,114 WATER STEET,,JOHNSTOWN,Fulton,,1828,5,05/03/2004,05/03/2004,Unknown,CAYADUTTA,"Non Major Facility > 1,100 gal",11/25/2005,BTEX,Oxygenates,0,,0
0480009,114 WATER STREET,114 WATER STEET,,JOHNSTOWN,Fulton,,1828,5,05/03/2004,05/03/2004,Unknown,CAYADUTTA,"Non Major Facility > 1,100 gal",11/25/2005,unknown petroleum,Petroleum,0,Gallons,0
0480009,114 WATER STREET,114 WATER STEET,,JOHNSTOWN,Fulton,,1828,5,05/03/2004,05/03/2004,Unknown,CAYADUTTA,"Non Major Facility > 1,100 gal",11/25/2005,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
0004609,114 WEST 134TH ST,114 WEST 134TH ST,,NEW YORK,New York,,3101,2,07/17/2000,07/17/2000,Equipment Failure,,"Non Major Facility > 1,100 gal",06/22/2006,#2 fuel oil,Petroleum,0,Gallons,0
9403566,114 WEST 13TH STREET,114 WEST 13TH STREET,,NEW YORK CITY,New York,,3101,2,06/14/1994,06/14/1994,Equipment Failure,,Commercial/Industrial,06/14/1994,#2 fuel oil,Petroleum,2,Gallons,0
9309740,114 WEST 13TH STREET,114 WEST 13TH STREET,,MANHATTAN,New York,,3101,2,11/11/1993,11/11/1993,Tank Overfill,,Private Dwelling,11/12/1993,#2 fuel oil,Petroleum,3,Gallons,0
9307525,114 WEST 26TH STREET,114 WEST 26TH STREET,,MANHATTAN,New York,,3101,2,09/21/1993,09/21/1993,Equipment Failure,,Tank Truck,09/21/1993,#6 fuel oil,Petroleum,30,Gallons,0
9501406,114-02 178TH STREET,114-02 178TH STREET,,JAMAICA,Queens,,4101,2,05/03/1995,05/03/1995,Equipment Failure,,Private Dwelling,02/11/2003,gallium trichloride,Hazardous Material,0,Pounds,0
9501406,114-02 178TH STREET,114-02 178TH STREET,,JAMAICA,Queens,,4101,2,05/03/1995,05/03/1995,Equipment Failure,,Private Dwelling,02/11/2003,#2 fuel oil,Petroleum,150,Pounds,0
9611719,114-03 QUEENS BLVD,1140-3 QUEENS BLVD,,QUEENS,Queens,,4101,2,12/26/1996,12/26/1996,Tank Overfill,,Tank Truck,12/26/1996,#2 fuel oil,Petroleum,10,Gallons,10
9211565,114-05 205TH STREET,114-05 205TH STREET,,ST ALBANS,Queens,,4101,2,01/03/1993,01/07/1993,Equipment Failure,,Private Dwelling,01/07/1993,#2 fuel oil,Petroleum,50,Gallons,0
9410357,114-09 LIBERTY AVENUE,114-09 LIBERTY AVENUE,,RICHMOND HILL,Queens,,4101,2,11/03/1994,11/03/1994,Tank Overfill,,Commercial/Industrial,11/07/1994,#2 fuel oil,Petroleum,1,Gallons,0
0010698,114-128 117TH ST,114-128 117TH ST,,SOUTH OZONE PARK,Queens,,4101,2,12/24/2000,12/26/2000,Unknown,,Unknown,12/11/2003,raw sewage,Other,0,Gallons,0
